month,pollution_rate,btc_price,exits_this_month,btc_sold_this_month,remaining_institutional_btc,institutional_pct_remaining
0,0.030000000000000006,100000.0,,0.0,1150500,100.0
1,0.03457525427719412,100000.0,,0.0,1150500,100.0
2,0.03979955301921212,100000.0,,0.0,1150500,100.0
3,0.045749369360404635,100000.0,,0.0,1150500,100.0
4,0.05250528491912177,100000.0,,0.0,1150500,100.0
5,0.06015058999708021,99195.26214587563,BTCE,20000.0,1130500,98.26162538026945
6,0.06876929918274742,99195.26214587563,,0.0,1130500,98.26162538026945
7,0.07844350070264232,97638.91026801697,"BTCC, ABTC",50000.0,1080500,93.91568883094307
8,0.08924998737854693,97638.91026801697,,0.0,1080500,93.91568883094307
9,0.10125616794900749,92925.58385257635,FBTC,205000.0,875500,76.09734897870491
10,0.11451533295360702,92925.58385257635,,0.0,875500,76.09734897870491
11,0.12906144916104068,82132.62422606965,"IBIT, HODL, BTCO",590500.0,285000,24.771838331160364
12,0.14490377494551435,82132.62422606965,,0.0,285000,24.771838331160364
13,0.16202171297712806,80376.41527703071,"ARKB, BITB",90000.0,195000,16.94915254237288
14,0.18036042487070963,77216.10434871564,GBTC,195000.0,0,0.0
15,0.19982779728495206,77216.10434871564,,0.0,0,0.0
16,0.22029334086880584,77216.10434871564,,0.0,0,0.0
17,0.24158949906612526,77216.10434871564,,0.0,0,0.0
18,0.26351563546677437,77216.10434871564,,0.0,0,0.0
19,0.2858446721795638,77216.10434871564,,0.0,0,0.0
20,0.3083320098070112,77216.10434871564,,0.0,0,0.0
21,0.3307260343435032,77216.10434871564,,0.0,0,0.0
22,0.35277927555577515,77216.10434871564,,0.0,0,0.0
23,0.3742591794078947,77216.10434871564,,0.0,0,0.0
24,0.3949575177328984,77216.10434871564,,0.0,0,0.0
25,0.414697667378666,77216.10434871564,,0.0,0,0.0
26,0.43333930072573473,77216.10434871564,,0.0,0,0.0
27,0.4507803735768517,77216.10434871564,,0.0,0,0.0
28,0.46695660951388873,77216.10434871564,,0.0,0,0.0
29,0.481838913532119,77216.10434871564,,0.0,0,0.0
30,0.49542927919673263,77216.10434871564,,0.0,0,0.0
31,0.5077557848409776,77216.10434871564,,0.0,0,0.0
32,0.5188672256384123,77216.10434871564,,0.0,0,0.0
33,0.5288278285138951,77216.10434871564,,0.0,0,0.0
34,0.5377123746103255,77216.10434871564,,0.0,0,0.0
35,0.5456019325827217,77216.10434871564,,0.0,0,0.0
