holder,ticker,btc_holdings,usd_at_risk,compliance_strictness,pollution_threshold,months_to_trigger,trigger_prob_24m,price_impact_pct,jurisdiction
BlackRock iShares Bitcoin Trust,IBIT,570000,57000000000,0.7,0.15,11.0,0.5681288052303372,10.95296631451356,US
Fidelity Wise Origin,FBTC,205000,20500000000,0.8,0.12,9.0,0.6242657470575629,4.483854039572141,US
Grayscale Bitcoin Trust,GBTC,195000,19500000000,0.5,0.2,14.0,0.4663799167048147,4.451850425154663,US
ARK 21Shares Bitcoin ETF,ARKB,48000,4800000000,0.6,0.18,13.0,0.5108395377533576,1.5302967433402215,US
Bitwise Bitcoin ETF,BITB,42000,4200000000,0.6,0.18,13.0,0.5108395377533576,1.3831300510639735,US
VanEck Bitcoin ETF,HODL,12000,1200000000,0.7,0.15,11.0,0.5681288052303372,0.647213595499958,US
Invesco Galaxy Bitcoin ETF,BTCO,8500,850000000,0.7,0.15,11.0,0.5681288052303372,0.5762801603468433,US
Purpose Bitcoin ETF,BTCC,35000,3500000000,0.8,0.1,7.0,0.6029838490866853,1.206942897795657,CA
ETC Group Physical Bitcoin,BTCE,20000,2000000000,0.9,0.08,5.0,0.7822403165189976,0.7182335127930839,DE
21Shares Bitcoin ETP,ABTC,15000,1500000000,0.85,0.1,7.0,0.7023645205102317,0.6582482904638631,CH
